Word,Similarity
kesengsaraan,0.8182689547538757
kesukaran,0.7611631751060486
penderitaan,0.7463522553443909
kemalangan,0.7444535493850708
cobaan,0.7159161567687988
siksaan,0.7045590877532959
kesedihan,0.7022630572319031
kesesakan,0.6831618547439575
malapetaka,0.6824884414672852
penderitaannya,0.6652568578720093
malapetaka,0.6773481965065002
amarah,0.7309799790382385
geram,0.6978152990341187
kemarahannya,0.6957608461380005
marah,0.6920457482337952
ketakutan,0.6797868609428406
malapetaka,0.6602672338485718
kemarahan,0.6526368260383606
cemburu,0.6507582068443298
bernafsu,0.6480312943458557
hasutan,0.644990861415863
kesusahan,0.7045590877532959
penderitaan,0.7006435990333557
kesengsaraan,0.697074294090271
cobaan,0.6957682371139526
kemalangan,0.6821918487548828
malapetaka,0.6533687710762024
penyiksaan,0.6422693133354187
penganiayaan,0.6392934322357178
kesukaran,0.6272776126861572
malapetaka,0.6447659730911255
pedih,0.7002038359642029
durhaka,0.6464743614196777
malapetaka,0.6414028406143188
tsunami,0.6592148542404175
eruption,0.6599960923194885
erupsi,0.8482828736305237
letusannya,0.6906764507293701
vulkanik,0.6863712072372437
kaldera,0.6640557646751404
ledakan,0.6535496711730957
berapi,0.6306992769241333
musibah,0.6405043601989746
letusan,0.848283052444458
letusannya,0.724053144454956
vulkanik,0.6940224170684814
kaldera,0.6812413334846497
vulkanis,0.6633209586143494
kelud,0.6610314846038818
lava,0.6520867347717285
freatik,0.6471022367477417
gunungapi,0.6420985460281372
merapi,0.6393694281578064
goncangan,0.6973153352737427
ledakan,0.6575087904930115
getaran,0.6360946297645569
kepanikan,0.6304478049278259
terjangan,0.7277258634567261
dihantam,0.7205878496170044
tertimpa,0.6641443371772766
